pitchid,pitcherid,yearid,height,ballSpeed,curve_X,curve_Z,releasePoint_X,releasePoint_Y,releasePoint_Z,ballSpin,type
1,5,1,72,83.77442443,-1.293106046,4.451669847,-1.330641492,6.317960548,6.065955755,1386.459243,3
2,5,1,72,89.64271412,-6.550556148,7.993455066,-1.556462638,6.119525687,5.719124889,1963.264977,9
3,4,1,72,91.75064782,-6.985573847,8.991263831,-2.0551339,6.201200421,5.780312341,2360.758263,9
4,5,1,72,83.18976594,-2.549203519,4.844713623,-1.001019897,6.074156485,6.240138321,858.9977879,7
5,2,1,80,92.69873844,-5.216515821,7.26776942,-2.097643005,6.212280768,5.776138363,2060.155099,9
6,2,1,80,93.46510076,-3.705180411,9.575830235,-2.412096706,6.362127437,5.930422732,2150.557826,10
7,5,1,72,90.13335053,-3.457455959,9.394351358,-1.71219812,6.315298387,5.878997102,2070.610056,10
8,2,1,80,94.98844913,-0.475621742,9.409168465,-1.70833347,6.565336644,6.16879944,2254.638912,10
9,5,1,72,90.93400991,-1.173692774,7.685286746,-1.005593937,5.986845853,5.963013659,1740.42325,10
10,4,1,72,87.3744638,1.512632628,4.563256971,-2.331636565,6.225165027,5.982524569,2442.328132,8
11,5,1,72,89.84327869,-2.053237523,6.465355777,-1.175671341,6.093257746,5.731044308,2208.61786,8
12,5,1,72,91.86434834,-5.335578786,8.920641764,-1.471802005,6.140327841,5.881301152,2191.538596,10
13,4,1,72,90.93037438,-5.170440873,11.63839012,-1.997116738,6.308711726,5.976771325,2307.406654,10
14,4,1,72,87.4077558,4.030954543,3.998172083,-2.154830607,6.048841987,5.848427265,2557.147959,8
15,2,1,80,84.37962315,-6.013177929,2.970227017,-2.655144596,6.147105125,5.793439269,1821.128111,4
16,5,1,72,88.69437833,-8.581525421,7.984155645,-1.548454441,6.608516793,5.624637842,1883.923469,9
17,5,1,72,84.21384291,-2.739903408,1.800840454,-1.254867835,5.954536149,6.016109851,571.994356,7
18,5,1,72,90.49332042,-7.048809549,7.620815092,-1.919606438,5.967217029,5.708845162,1966.634512,9
19,5,1,72,90.41346858,-4.196212771,8.845038323,-1.561800509,6.465776803,5.867268796,1946.077978,10
20,2,1,80,93.86517326,-4.014241024,9.111479008,-2.294593605,6.160876042,5.663114822,2370.434004,9
21,5,1,72,81.5130106,-8.949353225,2.978289577,-1.203538682,6.117867039,5.711218601,1205.541543,4
22,2,1,80,95.70975254,-5.017716907,8.325521796,-2.312183029,6.23694842,5.895514915,2299.58972,9
23,2,1,80,94.80229732,-1.675515743,7.716197025,-2.175535067,6.113521703,5.937650697,2225.89914,10
24,5,1,72,91.53752463,-6.551355211,8.242973704,-1.491710073,6.111607355,5.788817754,1843.826934,9
25,2,1,80,95.3157416,-1.535470805,7.275903718,-2.184202584,6.327544812,6.014976112,2247.895939,10
26,4,1,72,93.73111307,-5.054439552,7.711834419,-2.195450734,6.439642399,5.738743218,2341.583441,10
27,2,1,80,93.77351735,-5.488226207,9.497094156,-2.465509222,6.219993581,5.715984267,2336.453603,9
28,2,1,80,82.38397714,6.663056822,-7.448825266,-1.89466319,6.280586393,5.948881269,2682.687207,2
29,5,1,72,91.10413444,-11.05326881,5.627754079,-1.648323838,6.001357471,5.462549175,2017.480341,9
30,4,1,72,88.14671641,2.335707584,7.455287796,-1.987217563,5.808059961,5.913137653,2520.988157,8
31,5,1,72,83.32083816,-7.417340971,-0.354169313,-0.956158116,6.092662075,5.865398659,1113.090184,7
32,2,1,80,94.64694584,-5.421198023,3.398553666,-2.312177491,6.311627842,5.511319549,2158.72012,9
33,5,1,72,91.72342495,-3.923987954,9.325086212,-1.349266638,6.080591383,5.946525605,2031.432833,10
34,4,1,72,93.089827,-4.329548797,10.38516786,-1.849915013,6.43284505,6.026595354,2500.520335,10
35,5,1,72,91.01384248,-6.259860037,7.38308028,-1.633379457,6.248172257,5.740409724,1862.465909,9
36,2,1,80,94.78796733,-6.470852163,4.634077168,-2.120838799,6.237160678,5.688954912,2387.659062,9
37,2,1,80,82.01245831,7.400136608,-6.315789088,-2.157364195,5.960777594,5.873247579,2802.976048,2
38,5,1,72,89.2983148,-2.212078067,9.7627651,-1.285780847,6.168031242,5.974904209,2063.614637,10
39,5,1,72,90.49049212,-3.253963357,9.933114455,-0.93902079,6.222182757,6.014765626,2085.887083,10
40,2,1,80,82.7861331,1.774498385,-6.195109724,-2.658448587,5.831317786,5.951699233,2503.135037,2
41,2,1,80,93.58551647,-2.882269959,9.309367891,-2.589110059,6.354609085,5.699661337,2292.345545,10
42,2,1,80,94.81248686,-3.656329909,10.5041282,-1.764912852,6.358248045,5.979047149,2228.089132,9
